Product,Item Code,Percent Sold,Inventory
lemon caper compound,LEMON_CAPER_COMPOUND_BUTTER_COMMISSARY_24,0,-0.011
lemon dijon vinaigrette,LEMON_DIJON_VIN_FALL_23,0,-1.209
malt vinegar aioli,MALT_VINEGAR_AIOLI_COMMISSARY_24,0,0.0
marinara,MARINARA_24,0.7,0.902
meatballs,MEATBALLS_COMMISSARY_24,0,-3.508
monkey mix,MONKEY_MIX,1.55,-0.55
pickled red onions,PICKLED_RED_ONIONS_UPDATED,0.7,0.297
pico de gallo,PICO_DE_GALLO_-_COMMISSARY,2.04,-8.356
pineapple puree,PINEAPPLE_PUREE,0.0,1.0
pulled pork,PULLED_PORK,0.78,0.438
ranch,RANCH_DRESSING,1.22,-0.219
raw pasta,RAW_PASTA_FALL_23,1.16,-1.306
roasted chicken,ROASTED_CHICKEN_-_COMMISSARY,1.1,-0.4
roasted tomatoes,ROASTED_TOMATOES,0.89,0.219
seasoned beef,SEASONED_BEEF_COMMISSARY_24,0.98,0.125
shredded chicken,SHREDDED_CHICKEN_-_COMMISSARY_24,1.14,-0.55
street corn dip,STREET_CORN_DIP_COMMISSARY_24,0.7,0.9
tabbouleh salad,TABBOULEH_SALADE,0,-1.125
tartar sauce,TARTAR_SAUCE_SPRING_23,0,-0.153
